"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Dec 07 09:45:13 GMT 2023","Thu Dec 07 09:45:13 GMT 2023","0","TestAutomation-defaultSuite","Test Suite 1","testSuite.TestCase_AddMember","testSuite.TestCase_AddMember","addMemberSuccessfully","Open Add Member URL","Verify adding new member with valid info successfully"
"skipped","Thu Dec 07 09:45:13 GMT 2023","Thu Dec 07 09:45:13 GMT 2023","1","TestAutomation-defaultSuite","Test Suite 1","testSuite.TestCase_AllMembers","testSuite.TestCase_AllMembers","totalMemberDisplay","Verify total member displayed correctly",""
"skipped","Thu Dec 07 09:45:12 GMT 2023","Thu Dec 07 09:45:12 GMT 2023","2","TestAutomation-defaultSuite","Test Suite 1","testSuite.TestCase_SearchMembers","testSuite.TestCase_SearchMembers","searchMembersWithCorrectInfo","Verify searching member with string",""
"skipped","Thu Dec 07 09:45:12 GMT 2023","Thu Dec 07 09:45:13 GMT 2023","1","TestAutomation-defaultSuite","Test Suite 1","testSuite.TestCase_AddMember","testSuite.TestCase_AddMember","addMemberSuccessfully","Open Add Member URL","Verify adding new member with valid info successfully"
"skipped","Thu Dec 07 09:45:13 GMT 2023","Thu Dec 07 09:45:13 GMT 2023","0","TestAutomation-defaultSuite","Test Suite 1","testSuite.TestCase_AddMember","testSuite.TestCase_AddMember","addMemberSuccessfully","Open Add Member URL","Verify adding new member with valid info successfully"
"skipped","Thu Dec 07 09:45:13 GMT 2023","Thu Dec 07 09:45:13 GMT 2023","0","TestAutomation-defaultSuite","Test Suite 1","testSuite.TestCase_AddMember","testSuite.TestCase_AddMember","addMemberWithRandomInfo","Verify adding new member with random invalid info",""
"skipped","Thu Dec 07 09:45:13 GMT 2023","Thu Dec 07 09:45:13 GMT 2023","0","TestAutomation-defaultSuite","Test Suite 1","testSuite.TestCase_ViewMember","testSuite.TestCase_ViewMember","viewMemberByRandomId","Verify viewing new member with random info",""
"broken","Thu Dec 07 09:45:12 GMT 2023","Thu Dec 07 09:45:12 GMT 2023","3","TestAutomation-defaultSuite","Test Suite 1","testSuite.TestCase_SearchMembers","testSuite.TestCase_SearchMembers","setup","setup",""
"skipped","Thu Dec 07 09:45:13 GMT 2023","Thu Dec 07 09:45:13 GMT 2023","1","TestAutomation-defaultSuite","Test Suite 1","testSuite.TestCase_ViewMember","testSuite.TestCase_ViewMember","viewMemberByValidId","Verify viewing new member with valid id",""
"skipped","Thu Dec 07 09:45:12 GMT 2023","Thu Dec 07 09:45:12 GMT 2023","0","TestAutomation-defaultSuite","Test Suite 1","testSuite.TestCase_SearchMembers","testSuite.TestCase_SearchMembers","searchMembersWithRandomInfo","Verify searching member with random info",""
